data_snapshot,numero_empenho,valor_empenhado,saldo,responsavel,justificativa
2026-07-30,2025NE000371,750000.0,0.0,,
2026-07-30,2025NE000413,949835.78,0.0,,
2026-07-30,2025NE000414,524584.95,0.0,,
2026-07-30,2025NE000559,211614.23,0.0,,
2026-07-30,2025NE000770,2391157.41,0.01,,
2026-07-30,2025NE000774,618154.38,0.01,,
2026-07-30,2025NE000843,1600334.09,0.0,,
2026-07-30,2025NE001065,2364771.07,0.0,,
2026-07-30,2025NE001200,968237.39,0.0,,
2026-07-30,2025NE001598,1011677.95,0.0,,
2026-07-30,2025NE001627,1580293.02,0.0,,
2026-07-30,2025NE001629,0.0,34065.36,,
2026-07-30,2025NE001687,63746.85,0.0,,
2026-07-30,2025NE001688,947931.1,0.0,,
2026-07-30,2025NE001689,259790.57,0.0,,
2026-07-30,2025NE001690,170479.3,0.0,,
2026-07-30,2025NE001823,1500000.0,0.0,,
2026-07-30,2025NE001828,1000001.64,0.0,,
2026-07-30,2025NE001830,68405.66,0.0,,
2026-07-30,2025NE002200,1157673.06,0.0,,
2026-07-30,2025NE002237,34065.36,0.0,,
2026-07-30,2026NE000330,843261.89,927618.61,,
2026-07-30,2026NE000388,0.0,1912292.52,,
2026-07-30,2026NE000748,0.0,1496713.48,,
2026-07-30,2026NE000816,0.0,624166.14,,
2026-07-30,2026NE000817,0.0,18462.36,,
2026-07-30,2026NE000842,0.0,1530656.62,,
2026-07-30,2026NE000944,0.0,173846.38,,
2026-07-31,2025NE000367,52250.04,0.0,,
2026-07-31,2025NE000369,881914.18,0.0,,
2026-07-31,2025NE000371,750000.0,0.0,,
2026-07-31,2025NE000413,949835.78,0.0,,
2026-07-31,2025NE000414,524584.95,0.0,,
2026-07-31,2025NE000559,211614.23,0.0,,
2026-07-31,2025NE000770,2391157.41,0.01,,
2026-07-31,2025NE000774,618154.38,0.01,,
2026-07-31,2025NE000843,1600334.09,0.0,,
2026-07-31,2025NE001065,2364771.07,0.0,,
2026-07-31,2025NE001200,968237.39,0.0,,
2026-07-31,2025NE001598,1011677.95,0.0,,
2026-07-31,2025NE001627,1580293.02,0.0,,
2026-07-31,2025NE001629,0.0,34065.36,,
2026-07-31,2025NE001687,63746.85,0.0,,
2026-07-31,2025NE001688,947931.1,0.0,,
2026-07-31,2025NE001689,259790.57,0.0,,
2026-07-31,2025NE001690,170479.3,0.0,,
2026-07-31,2025NE001823,1500000.0,0.0,,
2026-07-31,2025NE001828,1000001.64,0.0,,
2026-07-31,2025NE001830,68405.66,0.0,,
2026-07-31,2025NE002200,1157673.06,0.0,,
2026-07-31,2025NE002237,34065.36,0.0,,
2026-07-31,2026NE000330,843261.89,927618.61,,
2026-07-31,2026NE000388,0.0,1912292.52,,
2026-07-31,2026NE000748,0.0,1496713.48,,
2026-07-31,2026NE000816,0.0,624166.14,,
2026-07-31,2026NE000817,0.0,18462.36,,
2026-07-31,2026NE000842,0.0,1530656.62,,
2026-07-31,2026NE000944,0.0,173846.38,,
2026-08-03,2025NE000367,52250.04,0.0,,
2026-08-03,2025NE000369,881914.18,0.0,,
2026-08-03,2025NE000371,750000.0,0.0,,
2026-08-03,2025NE000413,949835.78,0.0,,
2026-08-03,2025NE000414,524584.95,0.0,,
2026-08-03,2025NE000559,211614.23,0.0,,
2026-08-03,2025NE000770,2391157.41,0.01,,
2026-08-03,2025NE000774,618154.38,0.01,,
2026-08-03,2025NE000843,1600334.09,0.0,,
2026-08-03,2025NE001065,2364771.07,0.0,,
2026-08-03,2025NE001200,968237.39,0.0,,
2026-08-03,2025NE001598,1011677.95,0.0,,
2026-08-03,2025NE001627,1580293.02,0.0,,
2026-08-03,2025NE001629,0.0,34065.36,,
2026-08-03,2025NE001687,63746.85,0.0,,
2026-08-03,2025NE001688,947931.1,0.0,,
2026-08-03,2025NE001689,259790.57,0.0,,
2026-08-03,2025NE001690,170479.3,0.0,,
2026-08-03,2025NE001823,1500000.0,0.0,,
2026-08-03,2025NE001828,1000001.64,0.0,,
2026-08-03,2025NE001830,68405.66,0.0,,
2026-08-03,2025NE002200,1157673.06,0.0,,
2026-08-03,2025NE002237,34065.36,0.0,,
2026-08-03,2026NE000330,843261.89,927618.61,,
2026-08-03,2026NE000388,0.0,1912292.52,,
2026-08-03,2026NE000748,0.0,1496713.48,,
2026-08-03,2026NE000816,0.0,624166.14,,
2026-08-03,2026NE000817,0.0,18462.36,,
2026-08-03,2026NE000842,0.0,1530656.62,,
2026-08-03,2026NE000944,0.0,173846.38,,
2026-08-04,2025NE000367,52250.04,0.0,,
2026-08-04,2025NE000369,881914.18,0.0,,
2026-08-04,2025NE000371,750000.0,0.0,,
2026-08-04,2025NE000413,949835.78,0.0,,
2026-08-04,2025NE000414,524584.95,0.0,,
2026-08-04,2025NE000559,211614.23,0.0,,
2026-08-04,2025NE000770,2391157.41,0.01,,
2026-08-04,2025NE000774,618154.38,0.01,,
2026-08-04,2025NE000843,1600334.09,0.0,,
2026-08-04,2025NE001065,2364771.07,0.0,,
2026-08-04,2025NE001200,968237.39,0.0,,
2026-08-04,2025NE001598,1011677.95,0.0,,
2026-08-04,2025NE001627,1580293.02,0.0,,
2026-08-04,2025NE001629,0.0,34065.36,,
2026-08-04,2025NE001687,63746.85,0.0,,
2026-08-04,2025NE001688,947931.1,0.0,,
2026-08-04,2025NE001689,259790.57,0.0,,
2026-08-04,2025NE001690,170479.3,0.0,,
2026-08-04,2025NE001823,1500000.0,0.0,,
2026-08-04,2025NE001828,1000001.64,0.0,,
2026-08-04,2025NE001830,68405.66,0.0,,
2026-08-04,2025NE002200,1157673.06,0.0,,
2026-08-04,2025NE002237,34065.36,0.0,,
2026-08-04,2026NE000330,843261.89,927618.61,,
2026-08-04,2026NE000388,0.0,1912292.52,,
2026-08-04,2026NE000748,0.0,1496713.48,,
2026-08-04,2026NE000816,0.0,624166.14,,
2026-08-04,2026NE000817,0.0,18462.36,,
2026-08-04,2026NE000842,0.0,1530656.62,,
2026-08-04,2026NE000944,0.0,173846.38,,
